company_adddress,add_full,add_off
3072AP | 89,WILHELMINAKADE 89 37 TH FLOOR,0
3014AM | 75,WESTKRUISKADE 75 B,0
1118AV | 243,VERTREKPASSAGE 243,0
6199AD | 22,VLIEGVELDWEG 22,0
1118AW | 272,VERTREKPASSAGE 272 ROOM C 747,0
1118LE | 50,ANCHORAGELAAN 50 RL 108 L 111,5600
1616RW | 51,BOVENAKKER 51,0
1951JZ | 1,WENCKEBACHSTRAAT 1 4 H 04,0
1014BA | 57,KABELWEG 57,978
1012NZ | 49,KALVERSTRAAT 49,0
6211CW | 34,GROTE STAAT 34,0
1012XG | 186,KALVERSTRAAT 186,0
1991JJ | 11,KLOMPENMAKERSTRAAT 11,0
6211GL | 6,MAASTRICHTER SMEDENSTR 6,0
5935VM | 22,NABBEN 22,0
5912AJ | 53,ROERMONDSESTRAAT 53,0
5921JD | 1,2 E GRAAF VAN LOONSTRAAT 1,0
1118AV | 238,VERTREKPASSAGE 238,0
5281BT | 67,RECHTERSTRAAT 67,0
8243PN | 64,KOLKWEG 64,0
1051VB | 35,VAN DER HOOPSTRAAT 35 H,0
1051VB | 37,VAN DER HOOPSTRAAT 37 H,0
6041TD | 90,STADSWEIDE 90,10000
2511AX | 12,SCHOOLSTRAAT 12 B,0
1118AP | 6,VERTREKPASSAGE 6,0
7741LE | 8,DE HULTEWEG 8,0
1976BM | 26,KROMHOUTSTRAAT 26,0
3198LG | 2,LUXEMBURGWEG 2,0
1315TH | 20,FORUM 20,0
1105BN | 2,TAFELBERGWEG 2 B,0
2526JB | 44,HOBBEMAPLEIN 44,0
1012LP | 87,DAMRAK 87,0
2901LC | 300,RHIJNSPOOR 300,0
2292JN | 28,SYLVAIN POONSSTRAAT 28,0
2511BS | 2,SPUI 2,0
3029AD | 9,GALVANISTRAAT 9,0
2132MA | 1,RIJKSWEG A 4 1,0
3971GB | 29,TRAAIJ 29,0
3761CD | 63,VAN WEEDESTRAAT 63,0
6711AJ | 75,GROTESTRAAT 75,0
5664GE | 43,LANGSTRAAT 43,0
7511HN | 52,HJ VAN HEEKPLEIN 52,0
5501JK | 62,MEENT 62,0
5625AG | 260,WINKELCENTRUM WOENSEL 260,0
9101LJ | 4,HOOGSTRAAT 4,0
6581BW | 46,WINKELCENTRUM 46 A,0
8501AK | 147,MIDSTRAAT 147,0
8302EZ | 105,LANGE NERING 105,0
5241EJ | 3,VREEBURG 3,0
6901GN | 8,RAADHUISPLEIN 8,0
8254KE | 11,DE RELING 11,0
5171DN | 6,HOOFDPOORT UNIT 6,0
7941AD | 79,HOOFDSTRAAT 79,0
4901NE | 267,ARENDSHOF 267,0
6602HR | 13,MARKTPROMENADE 13,0
4001AP | 46,WATERSTRAAT 46,0
6881TD | 85,HOOFDSTRAAT 85,0
9301AK | 28,WILHELMINASTRAAT 28,0
9401JK | 10,KRUISSTRAAT 10,0
8471JG | 60,VAN HARENSTRAAT 60,0
9671PJ | 62,LANGESTRAAT 62,0
8861BE | 53,VOORSTRAAT 53,0
9251EA | 31,SCHOOLSTRAAT 31 A,0
5233AR | 36,ROMPERTPASSAGE 36,0
2406BT | 16,DE AARHOF 16,0
4701BC | 18,ROSELAAR 18,0
5011LR | 43,WAGNERPLEIN 43,0
