bvd_id,company_adddress
NL000000124397,3072AP | 89
NL000000448958,3014AM | 75
NL000002229765,1118AV | 243
NL000002229846,6199AD | 22
NL000002482002,1118AW | 272
NL000002482037,1118LE | 50
NL000003672239,1616RW | 51
NL000004032144,1951JZ | 1
NL000004032160,1014BA | 57
NL000005187702,1012NZ | 49
NL000005187745,6211CW | 34
NL000005187818,1012XG | 186
NL000015064425,3198LG | 2
NL000015791742,1315TH | 20
NL000015791750,1105BN | 2
NL000015791815,2526JB | 44
NL000015791831,1012LP | 87
NL000015792153,2901LC | 300
NL000015792315,2292JN | 28
NL000015792684,2511BS | 2
NL000015792757,3029AD | 9
NL000015792889,2132MA | 1
NL000017845874,3971GB | 29
NL000017845882,3761CD | 63
NL000017845890,6711AJ | 75
NL000017845904,5664GE | 43
NL000017845912,7511HN | 52
NL000017845947,5501JK | 62
NL000017845955,5625AG | 260
NL000017846021,9101LJ | 4
NL000017846536,6581BW | 46
NL000017846544,8501AK | 147
NL000017846560,8302EZ | 105
NL000017846595,5241EJ | 3
NL000017846617,6901GN | 8
NL000017846625,8254KE | 11
NL000017846633,5171DN | 6
NL000017846668,7941AD | 79
NL000017846684,4901NE | 267
NL000017846692,6602HR | 13
NL000017846706,4001AP | 46
NL000017846714,6881TD | 85
NL000017846722,9301AK | 28
NL000017846757,9401JK | 10
NL000017846765,8471JG | 60
NL000017846781,9671PJ | 62
NL000017846854,8861BE | 53
NL000017846889,9251EA | 31
NL000017846897,5233AR | 36
NL000017846900,2406BT | 16
NL000017847028,4701BC | 18
NL000017847044,5011LR | 43
NL000017847052,4461JR | 84
NL000017847109,5831JC | 77
NL000017847176,5051NR | 32
NL000017847192,9603AA | 6
NL000017847206,3901AZ | 91
NL000017847214,3201ES | 13
NL000017847222,4531GC | 53
NL000017847281,7121CX | 4
NL000017847303,9351AZ | 6
NL000017847346,2171BP | 232
NL000017847362,2225BM | 26
NL000017847370,8071BX | 31
NL000017847508,3069KV | 98
NL000017847524,2624ES | 40
NL000017847680,9742AM | 202
NL000017847842,7772AE | 2
NL000017847877,5384MC | 74
NL000017847915,4826HN | 16
NL000017847974,5751GZ | 30
NL000017848059,2284DH | 61
NL000017848075,5141HH | 56
NL000017848083,4132AN | 67
NL000017848113,8232VX | 12
NL000017848318,5921HC | 34
NL000019516630,8242PN | 94
NL000019516738,6041TD | 184
NL000019516770,4703TB | 37
NL000019516819,1012WP | 429
NL000020132166,5611ZB | 160
NL000020706456,1813KN | 20
NL000020706545,1083HP | 150
NL000020707215,6827AV | 73
NL000020707290,2596CZ | 80
NL000020707339,5613AM | 12
NL000020707630,9727KB | 17
NL000020718128,6222PG | 11
NL000020718160,8031DX | 56
NL000020718195,5912PL | 82
NL000020718284,2671SB | 32
NL000020718314,3584BL | 1
NL000020719396,1813KN | 20
NL000020719450,1083HP | 150
NL000020719566,6827AV | 73
NL000020719612,2596CZ | 80
NL000020719647,9727KB | 17
NL000020719701,5613AM | 12
NL000020719736,6222PG | 11
NL000020719752,2671SB | 32
NL000020719787,3584BL | 1
NL000020719841,8031DX | 56
NL000020719949,5912PL | 82
NL000021150257,2132WT | 2
NL000021321280,5911DP | 40
NL000021778531,5613BH | 60
NL000022600396,1703SC | 107
NL000023601655,5611EA | 1
NL000023601663,4814RZ | 24
NL000023601671,5038CP | 19
NL000023601701,4706PJ | 16
NL000023651946,4337WV | 33
NL000023938560,2903AE | 34
NL000024557285,6001GL | 19
NL000024589330,2161EW | 8
NL000024934054,3431LN | 53
NL000025611003,6041EC | 5
NL000025611011,3011BN | 78
NL000025611038,1062KR | 30
NL000027212556,2202GB | 48
NL000027266184,5224AB | 75
NL000029370205,1118LD | 30
NL000031108083,6811ES | 11
NL000031108091,2511BB | 8
NL000031108105,3811AA | 23
NL000031140726,4873AB | 18
NL000031542638,1071BM | 39
NL000032317360,7556BE | 50
NL000032340524,7556BE | 50
NL000032364334,5401GR | 20
NL000032384173,2353TT | 39
NL000032422830,3831NE | 3
NL000032545142,2132DM | 168
NL000032558902,3144BA | 92035
NL000032789726,2981ET | 22
NL000033255083,2741NP | 57
NL000033474311,7902EH | 195
NL000033956375,2289EX | 101
NL000034707727,3074EN | 112
NL000034803017,1016CD | 312
NL000034819444,8013PM | 19
NL000034882480,2595AA | 10
NL000034983988,8242PP | 89
NL000035167661,1012AA | 24
NL000035630310,1101BR | 75
NL000035924195,1334KT | 101
NL000035977671,6191JX | 34
NL000036316598,2132MT | 29
NL000036591009,1016CD | 312
NL000038091011,6411BN | 18
NL000038209357,1185XR | 8
NL000038277824,2284DP | 5
NL000038277832,3543MB | 7
NL000038294842,9727KB | 7
NL000040403866,5935BL | 4
NL000040549127,1102DR | 14
NL000040799417,3134KK | 5
NL000040799425,5232BZ | 20
NL000041343018,1097DP | 7
NL000041991931,3074EN | 112
NL000041991958,1102DR | 14
NL000042347920,5144NC | 1
NL000042868505,5613AM | 12
NL000042868513,1083HP | 150
NL000042868521,2596CZ | 80
NL000042868548,8031DX | 56
NL000043326269,3311KA | 1
NL000043326277,5709AC | 2
NL000044853866,3012ER | 88
NL000044919700,4207HW | 4
NL000045129584,1132GG | 30
NL01000518,8912AM | 41
NL01000535,8861NS | 25
NL01000726,8445PL | 11
NL01001274,8501XD | 8
NL01001481,8701XD | 14
NL01002365,8935DG | 2
NL01002461,7954GH | 395
NL01003791,9219VR | 24
NL01004069,8606JW | 5
NL01004663,9206AK | 23
NL01005950,8932NX | 2
NL01006104,8701XD | 2
NL01006463,4416PJ | 18
NL01006797,9079KK | 20
NL01006828,8937AA | 3
NL01007038,9044MN | 16
NL01008357,9061AE | 12
NL01008904,8701XA | 11
NL01009127,8926LD | 38
NL01009304,8912AV | 34
NL01009983,8861KN | 3
NL01010578,3439LM | 71
NL01010587,9044MN | 18
NL01010888,8938BB | 2
NL01011693,9045RG | 20
NL01011977,8521MA | 17
NL01012436,8701XD | 14
NL01012832,1814CK | 57
NL01013169,8447SL | 9
NL01013532,8911AX | 25
NL01013925,8444AB | 73
NL01014708,8831XA | 43
NL01016675,9298JG | 123
NL01016748,8932PA | 15
NL01016749,9001XW | 3
NL01017105,8911AX | 25
NL01017564,9206AA | 9
NL01018808,8561EL | 24
NL01019330,9262NR | 27
NL01021299,9201CH | 126
NL01021366,8606JG | 9
NL01022198,9101RA | 2
NL01022536,8935DG | 2
NL01023629,8606JR | 6
NL01023927,8491PK | 5
NL01025855,8443DV | 57
NL01027218,8391MG | 3
NL01028429,9231GR | 3
NL01028520,9231GR | 3
NL01029212,8442DJ | 65
NL01029260,9269RC | 3
NL01029882,9257WH | 16
NL01030484,9076PH | 26
NL01031133,8441CM | 4
NL01031477,8913CL | 30
NL01031575,8448GV | 69
NL01031925,9001ZJ | 26
NL01032005,9262ND | 21
NL01032065,8445PL | 11
NL01032606,8451KA | 45
NL01032857,3016CL | 4
NL01033555,8561EX | 37
NL01034099,8938AB | 2
NL01034194,9251BL | 23
NL01034550,8917AL | 33
NL01034724,8932NB | 73
NL01034771,8912AB | 83
NL01034813,8601WT | 1
NL01034940,9254DD | 139
NL01035058,9105KT | 42
NL01035072,8911KW | 51
NL01035327,8561EL | 24
NL01035682,9101PA | 25
NL01036471,8916HH | 30
