company_adddress,city
3072AP | 89,ROTTERDAM
3014AM | 75,ROTTERDAM
1118AV | 243,SCHIPHOL
6199AD | 22,MAASTRICHTAIRPORT
1118AW | 272,SCHIPHOL
1118LE | 50,SCHIPHOL
1616RW | 51,HOOGKARSPEL
1951JZ | 1,VELSENNOORD
1014BA | 57,AMSTERDAM
1012NZ | 49,AMSTERDAM
6211CW | 34,MAASTRICHT
1012XG | 186,AMSTERDAM
3198LG | 2,EUROPOORT ROTTERDAM
1315TH | 20,ALMERE
1105BN | 2,AMSTERDAM
2526JB | 44,SGRAVENHAGE
1012LP | 87,AMSTERDAM
2901LC | 300,CAPELLE AAN DEN IJSSEL
2292JN | 28,WATERINGEN
2511BS | 2,SGRAVENHAGE
3029AD | 9,ROTTERDAM
2132MA | 1,HOOFDDORP
3971GB | 29,DRIEBERGENRIJSENBURG
3761CD | 63,SOEST
6711AJ | 75,EDE GLD
5664GE | 43,GELDROP
7511HN | 52,ENSCHEDE
5501JK | 62,VELDHOVEN
5625AG | 260,EINDHOVEN
9101LJ | 4,DOKKUM
6581BW | 46,MALDEN
8501AK | 147,JOURE
8302EZ | 105,EMMELOORD
5241EJ | 3,ROSMALEN
6901GN | 8,ZEVENAAR
8254KE | 11,DRONTEN
5171DN | 6,KAATSHEUVEL
7941AD | 79,MEPPEL
4901NE | 267,OOSTERHOUT NB
6602HR | 13,WIJCHEN
4001AP | 46,TIEL
6881TD | 85,VELP GLD
9301AK | 28,RODEN
9401JK | 10,ASSEN
8471JG | 60,WOLVEGA
9671PJ | 62,WINSCHOTEN
8861BE | 53,HARLINGEN
9251EA | 31,BURGUM
5233AR | 36,SHERTOGENBOSCH
2406BT | 16,ALPHEN AAN DEN RIJN
4701BC | 18,ROOSENDAAL
5011LR | 43,TILBURG
4461JR | 84,GOES
5831JC | 77,BOXMEER
5051NR | 32,GOIRLE
9603AA | 6,HOOGEZAND
3901AZ | 91,VEENENDAAL
3201ES | 13,SPIJKENISSE
4531GC | 53,TERNEUZEN
7121CX | 4,AALTEN
9351AZ | 6,LEEK
2171BP | 232,SASSENHEIM
2225BM | 26,KATWIJK ZH
8071BX | 31,NUNSPEET
3069KV | 98,ROTTERDAM
2624ES | 40,DELFT
9742AM | 202,GRONINGEN
7772AE | 2,HARDENBERG
5384MC | 74,HEESCH
4826HN | 16,BREDA
5751GZ | 30,DEURNE
2284DH | 61,RIJSWIJK ZH
5141HH | 56,WAALWIJK
4132AN | 67,VIANEN UT
8232VX | 12,LELYSTAD
5921HC | 34,VENLO
8242PN | 94,LELYSTAD
6041TD | 184,ROERMOND
4703TB | 37,ROOSENDAAL
1012WP | 429,AMSTERDAM
5611ZB | 160,EINDHOVEN
1813KN | 20,ALKMAAR
1083HP | 150,AMSTERDAM
6827AV | 73,ARNHEM
2596CZ | 80,SGRAVENHAGE
5613AM | 12,EINDHOVEN
9727KB | 17,GRONINGEN
6222PG | 11,MAASTRICHT
8031DX | 56,ZWOLLE
5912PL | 82,VENLO
2671SB | 32,NAALDWIJK
