bvd_id,guo
NL000010559701,IT90052400026
NL000012144479,DE5190000974
NL000012593818,CW30390NU
NL000012593834,CW30390NU
NL000020706456,GBOC338303
NL000020706545,GBOC338303
NL000020707215,GBOC338303
NL000020707290,GBOC338303
NL000020707339,GBOC338303
NL000020707630,GBOC338303
NL000020718128,GBOC338303
NL000020718160,GBOC338303
NL000020718195,GBOC338303
NL000020718284,GBOC338303
NL000020718314,GBOC338303
NL000020719396,GBOC338303
NL000020719450,GBOC338303
NL000020719566,GBOC338303
NL000020719612,GBOC338303
NL000020719647,GBOC338303
NL000020719701,GBOC338303
NL000020719736,GBOC338303
NL000020719752,GBOC338303
NL000020719787,GBOC338303
NL000020719841,GBOC338303
NL000020719949,GBOC338303
NL000020846991,IT90052400026
NL000030520290,GB05556919
NL000032317360,GBOC338303
NL000032340524,GBOC338303
NL000035630310,DEFEI1008429
NL000036316598,GB05997232
NL01000518,NL01164598
NL01000535,NL01100099
NL01000857,NL40001219
NL01001481,NL66478367
NL01002008,WW*110298657939
NL01002365,NL01155410
NL01004069,NL76922170
NL01004663,NL01075970
NL01006104,NL01012436
NL01006463,NL22036226
NL01006807,NL01127957
NL01008357,NL77216814
NL01009127,NL33265487
NL01009304,NL53013409
NL01009983,NL02005220
NL01010578,TRC23474334730
NL01010888,NL01053338
NL01011199,NL76573397
NL01011977,NL75745623
NL01012832,NL37092384
NL01013532,NL64053865
NL01013925,NL40005736
NL01014708,BE0838254303
NL01016748,NL57199086
NL01016749,NL70504997
NL01017105,NL73623652
NL01017361,NL01068470
NL01017564,NL01121074
NL01018808,NL01106090
NL01019376,NL01087184
NL01020568,NL69569584
NL01021299,NLCP3294045
NL01021366,NL01080655
NL01022536,NL01155410
NL01023408,NL41002249
NL01024465,NL75287544
NL01025855,NLCP3294045
NL01028429,NL54246180
NL01028520,NL54246180
NL01029212,NL01099887
NL01029260,NL01119627
NL01029882,NL41005368
NL01030307,DE7050000100
NL01031133,NL01100129
NL01031477,NL01047219
NL01032005,NL67690289
NL01032857,NL24293994
NL01034194,NL01058537
NL01034724,NL01109104
NL01034771,NL75557029
NL01035058,NL01132335
NL01035072,WW*110298658096
NL01035327,NL01106090
NL01036591,NL61256463
NL01037273,WW*110298657980
NL01037697,NL30130436
NL01037814,NL01108921
NL01037819,NL01099321
NL01037994,NL01102210
NL01038306,WW*110298665630
NL01038332,NL56747764
NL01038431,NL61256463
NL01038604,NL01096034
NL01038915,NL01034550
NL01039070,NL*110166673654
NL01039137,DE7330530056
NL01039321,NL41005105
NL01039568,NL05074444
NL01039614,NL01102308
NL01039689,NL01159092
NL01039690,NL73698334
NL01039925,NL01083363
NL01041601,NL01155067
NL01041709,NL01165624
NL01042159,NL01023927
NL01042563,NL01080655
NL01042634,NL22057806
NL01042907,NL77216814
NL01042967,NL01110907
NL01043064,NL01087001
NL01043153,NL01030484
NL01043154,NL01030484
NL01043226,NL01074177
NL01043326,NL51666731
NL01043531,NL01023629
NL01044325,NL05061239
NL01044534,NL73310794
NL01045285,NLCP3294045
NL01045332,NL56555539
NL01045401,NL02005220
NL01045536,AT9110480786
NL01045699,NL01105997
NL01045905,NL40005736
NL01045928,NL01133386
NL01046263,NL01080655
NL01046669,NL23049923
NL01046778,NL01080655
NL01046870,NL67716717
NL01046906,NL01064705
NL01047414,NL01061481
NL01047539,NL02005220
NL01048569,NL75283824
NL01048776,NL01031116
NL01048793,NL29021777
NL01048802,NL01074106
NL01048817,WW*110298657951
NL01048871,NL01140823
NL01049212,NL64144933
NL01049261,NL75557029
NL01050013,NL01087132
NL01050024,NL39069684
NL01050052,NL01050979
NL01050490,NL01055935
NL01050561,NL01122299
NL01050589,NL61252964
NL01050829,NL01055950
NL01050968,NL04073436
NL01051073,NL01122980
NL01051548,NL01074018
NL01051608,NL01093332
NL01051612,NL01093332
NL01051977,US260405422
NL01051993,NL39085314
NL01052322,NL01097682
NL01052375,NL32091252
NL01052490,NL76922170
NL01052491,NL76922170
NL01052999,NL01061136
NL01053049,NL01064581
NL01053051,NL01064581
NL01053052,NL01064581
NL01053100,NL64788172
NL01053101,NL64785092
NL01053102,NL64795594
NL01053103,NL64795594
NL01053117,NL70908052
NL01053160,NL01056962
NL01053399,NL01092940
NL01053848,NL01045539
NL01053958,NL22057806
NL01054109,NL30194051
NL01054298,NL01082289
NL01054541,NL01056962
NL01055459,NL01105886
NL01055462,NL34052798
NL01055484,WW*928508308
NL01055900,NL41012603
NL01056189,NL01114355
NL01056345,NL23075803
NL01056510,NL72115300
NL01056664,NL01056962
NL01056779,NL01074106
NL01057531,NL41005105
NL01057534,NL05045103
NL01057695,NL01105886
NL01057819,NL76663353
NL01058013,NL58119140
NL01058125,NL01077358
NL01058398,NL01012436
NL01058936,NL70875758
NL01059102,NL01062911
NL01059117,NL30093850
NL01059118,NL76663353
NL01059207,GB09800044
NL01059333,NL01031116
NL01059694,NLCP3294045
NL01059700,WW*110298657974
NL01059701,WW*110298657975
NL01059783,WW*110298657977
NL01059823,NL01079906
NL01060039,NL01081030
NL01060128,WW*110298657978
NL01060154,WW*110298657979
NL01060356,NL52603113
NL01060598,NL01107687
NL01060716,NL54246180
NL01061205,NL01056962
NL01061355,NL01097358
NL01061406,NL01089048
NL01061604,WW*110298657980
NL01061608,NL01112256
NL01061782,NL52624994
NL01061793,NL01155410
NL01061818,NL01098670
NL01061845,NL73107174
NL01061938,NL01074177
NL01061975,NL41005777
NL01061977,NL41005249
NL01062069,LUECBO004772C00000
NL01062088,NL01106090
NL01062112,NL01007038
NL01062281,NL53801024
NL01062420,NL56794266
NL01062663,NL01079140
NL01062859,NL70583048
NL01062928,NL70583048
NL01063038,NL51272598
NL01063321,NL51683261
NL01063322,NL01120073
NL01063893,NL70504997
NL01064102,NL01065691
NL01064199,NL22001950
NL01064280,NL01100139
NL01064329,NL70362661
NL01064547,NL54136644
NL01064548,NL54136644
NL01064588,NL27135853
NL01064591,NL*110298657986
NL01064611,NL01064610
NL01065287,NL01023927
NL01065605,NL01106090
NL01065717,NL01133386
NL01065721,WW*110298657988
NL01066085,NL22001950
NL01066220,NL01088901
NL01066490,NL01066485
NL01066597,NL75557029
NL01067278,NL01096648
NL01067553,NL53045602
NL01067579,NL39085314
NL01067817,NL01119138
NL01067850,NL57199086
NL01067878,NL30099780
NL01068096,NL01109132
NL01068434,NL01085109
NL01068657,NL30079765
NL01068733,NL41004754
NL01069349,NL70583048
NL01069415,NL66479924
NL01069597,DEC2-216837
NL01069764,NL06057252
NL01069795,NL54338085
NL01069822,NL01119608
NL01069870,NL72115300
NL01070002,NL01130436
NL01070163,NL11024221
NL01070272,NL01150773
NL01070347,BECP3338835
NL01070362,WW*110298657994
NL01070704,NL41005524
NL01070953,NL01089230
NL01070955,NL75433001
NL01071403,FI09866740
NL01071414,NL70139350
NL01071470,SE2021003831
NL01071637,NL01074429
NL01071910,NL*905642714
NL01072159,WW*110298657999
NL01072169,NL01072168
NL01072214,SE2021003831
NL01072284,NL32091252
NL01072401,NL01061279
NL01072438,WW*110298658000
NL01072439,WW*110298658001
NL01072440,WW*110298658002
NL01072685,NL09098166
NL01073194,NL61725234
NL01073231,NL61837385
NL01073428,WW*110298658003
NL01073429,WW*110298658004
NL01073512,NL01104127
NL01073558,WW*110298658005
NL01073820,NL01106090
NL01074304,WW*110298658007
NL01074339,NL41005466
NL01074386,NL01097682
NL01074387,NL01097682
NL01074514,NL01074508
NL01074540,NL01074106
NL01074543,NL70583048
NL01074661,BR01838723000127
NL01075010,NL01155410
NL01075109,NL01103337
NL01075172,NL70583048
NL01075219,DE7150000030
NL01075272,NL01103842
NL01075278,NL41005105
NL01075628,NL22036226
NL01075698,WW*110298658019
NL01075996,NL39085314
NL01076025,NL01105854
NL01076027,NL01076026
NL01076049,NL01114389
NL01076364,NL01106683
NL01076443,NL01114837
NL01076456,NL30184922
NL01076458,NL01118016
NL01076482,NL02051118
NL01076721,NL73623652
NL01076732,NL01091052
NL01076758,WW*110298658023
NL01077031,NL75713098
NL01077059,NL04006089
NL01077124,NL70504997
NL01077515,NL01092424
NL01077600,NL*905642714
NL01077646,NL70139350
NL01077684,WW*110298658031
NL01077890,NL67726607
NL01078000,NL01074508
NL01078084,WW*110022599594
NL01078993,NL01106683
NL01079253,NL01096034
NL01079335,NL01112256
NL01079405,NL01095070
NL01079503,NL01031116
NL01079633,NL30070695
NL01079634,NL30070695
NL01080033,NL30070695
NL01080192,NL71598952
NL01080355,NL01091286
NL01080438,NL01133916
NL01080523,NL54306388
NL01080570,NL01120411
NL01080682,NL01112424
NL01081131,NL01099321
NL01081377,NL01072524
NL01081477,NL01081475
NL01081667,NL41005368
NL01081752,NL63911213
NL01082189,WW*110298671942
NL01082320,NL01114300
NL01082931,NL01118915
NL01083050,NL01083045
NL01083371,WW*110298658040
NL01083631,WW*905741178
NL01083634,NL01072886
NL01083974,NL55256740
NL01084238,NL01106683
NL01084769,NL59734817
NL01084799,NL08186644
NL01084900,NL72343699
NL01084958,NL01086659
NL01085112,NL41005105
NL01085113,NL41005105
NL01085152,NL02046176
NL01085235,NL73379956
NL01086023,NL61452289
NL01086028,NL51592126
NL01086030,NL51592126
NL01086185,NL41005105
NL01086187,NL41005105
NL01086677,NL01105769
NL01086729,NL58470107
NL01086766,NL01066485
NL01086768,NL01092836
NL01086770,JP5010001008771
NL01086771,JP5010001008771
NL01087303,NL01094631
NL01087964,NL01070263
NL01088163,NL01100099
NL01088780,WW*110298658063
NL01088783,NL01093392
NL01088954,NL62117920
NL01088967,NL66478367
NL01088981,NL30100693
NL01089021,NL41000205
NL01089053,NL01031116
NL01089121,NL58470107
NL01089608,NL37085984
NL01089886,NL*905642689
NL01090231,WW*110298658066
NL01090669,NL32083079
NL01090804,NL01164464
NL01090812,WW*110298658072
NL01091025,NL41225442
NL01091287,NL56298439
NL01091299,WW*110298658076
NL01091304,WW*110298658077
NL01091367,WW*110298658078
NL01091476,NL37157753
NL01091535,NL64144933
NL01091541,WW*110298658079
NL01091604,NL72249129
NL01091668,NL66944139
NL01091934,NL01079873
NL01091953,NL32101572
NL01091965,NL01143643
NL01092024,NL41009381
NL01092099,NL01090394
NL01092130,WW*110298658080
NL01092203,NL73407917
NL01092375,NL54306388
NL01092548,NL01092424
NL01092657,NL01100129
NL01092680,NL73379956
NL01093283,NL01092345
NL01093582,WW*110298658063
NL01093585,WW*110298658063
NL01093711,NL01118553
NL01093812,AW*D00429388
NL01094508,NL01119195
NL01094603,NL01098282
NL01094694,NL52364100
NL01094778,JP5010001008771
NL01095099,NL01102349
NL01095266,NL24294689
NL01096011,NL74913638
NL01096056,NL01106214
NL01096188,NL01114354
NL01096190,NL01114354
NL01096417,NL51027348
NL01096663,NL74761552
NL01096823,NL01083633
NL01096844,NL01132415
NL01097032,NL01097029
NL01097137,WW*110298658089
NL01097357,WW*110298658091
NL01097469,NL75433001
NL01097745,NL01114107
NL01097781,WW*110298658093
NL01097947,JP5010001008771
NL01098323,NL01098315
NL01098589,NL01031116
NL01098725,NL01140286
NL01098888,BE0838254303
NL01099049,NL01082289
NL01099187,VG*D00425499
NL01099465,WW*110298658101
NL01099549,NL01065756
NL01099590,NL01132942
NL01099858,NL01120213
NL01100181,NL01047774
NL01100304,NL01100292
NL01100339,WW*110298658108
NL01100379,FR443837331
NL01100474,NL39085314
